#Note:; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
348 2.21795674e-2 4.15580326e-1
348.5 2.22853310e-2 4.17251338e-1
349 2.23925713e-2 4.18931797e-1
349.5 2.25013170e-2 4.20621878e-1
350 2.26115972e-2 4.22321762e-1
350.5 2.27234424e-2 4.24031630e-1
351 2.28368834e-2 4.25751669e-1
351.5 2.29519522e-2 4.27482068e-1
352 2.30686816e-2 4.29223019e-1
352.5 2.31871052e-2 4.30974719e-1
353 2.33072576e-2 4.32737368e-1
353.5 2.34291744e-2 4.34511172e-1
354 2.35528923e-2 4.36296337e-1
354.5 2.36784488e-2 4.38093077e-1
355 2.38058827e-2 4.39901608e-1
355.5 2.39352337e-2 4.41722151e-1
356 2.40665429e-2 4.43554932e-1
356.5 2.41998523e-2 4.45400181e-1
357 2.43352054e-2 4.47258133e-1
357.5 2.44726467e-2 4.49129028e-1
358 2.46122221e-2 4.51013111e-1
358.5 2.47539790e-2 4.52910633e-1
359 2.48979661e-2 4.54821849e-1
359.5 2.50442333e-2 4.56747021e-1
360 2.51928325e-2 4.58686415e-1
360.5 2.53438166e-2 4.60640305e-1
361 2.54972406e-2 4.62608970e-1
361.5 2.56531609e-2 4.64592696e-1
362 2.58116356e-2 4.66591773e-1
362.5 2.59727248e-2 4.68606502e-1
363 2.61364901e-2 4.70637187e-1
363.5 2.63029954e-2 4.72684141e-1
364 2.64723064e-2 4.74747684e-1
364.5 2.66444909e-2 4.76828144e-1
365 2.68196188e-2 4.78925857e-1
365.5 2.69977623e-2 4.81041165e-1
366 2.71789959e-2 4.83174422e-1
366.5 2.73633965e-2 4.85325987e-1
367 2.75510434e-2 4.87496230e-1
367.5 2.77420186e-2 4.89685529e-1
368 2.79364067e-2 4.91894274e-1
368.5 2.81342954e-2 4.94122862e-1
369 2.83357748e-2 4.96371701e-1
369.5 2.85409384e-2 4.98641211e-1
370 2.87498827e-2 5.00931820e-1
370.5 2.89627077e-2 5.03243970e-1
371 2.91795164e-2 5.05578113e-1
371.5 2.94004157e-2 5.07934713e-1
372 2.96255162e-2 5.10314248e-1
372.5 2.98549320e-2 5.12717208e-1
373 3.00887815e-2 5.15144095e-1
373.5 3.03271874e-2 5.17595427e-1
374 3.05702765e-2 5.20071734e-1
374.5 3.08181803e-2 5.22573563e-1
375 3.10710349e-2 5.25101476e-1
375.5 3.13289815e-2 5.27656049e-1
376 3.15921665e-2 5.30237877e-1
376.5 3.18607416e-2 5.32847571e-1
377 3.21348642e-2 5.35485758e-1
377.5 3.24146976e-2 5.38153086e-1
378 3.27004112e-2 5.40850222e-1
378.5 3.29921809e-2 5.43577851e-1
379 3.32901894e-2 5.46336679e-1
379.5 3.35946263e-2 5.49127435e-1
380 3.39056889e-2 5.51950868e-1
380.5 3.42235818e-2 5.54807752e-1
381 3.45485180e-2 5.57698883e-1
381.5 3.48807190e-2 5.60625083e-1
382 3.52204152e-2 5.63587201e-1
382.5 3.55678460e-2 5.66586111e-1
383 3.59232611e-2 5.69622715e-1
383.5 3.62869202e-2 5.72697945e-1
384 3.66590937e-2 5.75812765e-1
384.5 3.70400637e-2 5.78968167e-1
385 3.74301238e-2 5.82165179e-1
385.5 3.78295804e-2 5.85404861e-1
386 3.82387530e-2 5.88688310e-1
386.5 3.86579749e-2 5.92016661e-1
387 3.90875939e-2 5.95391088e-1
387.5 3.95279735e-2 5.98812802e-1
388 3.99794931e-2 6.02283062e-1
388.5 4.04425491e-2 6.05803166e-1
389 4.09175561e-2 6.09374463e-1
389.5 4.14049475e-2 6.12998346e-1
390 4.19051767e-2 6.16676262e-1
390.5 4.24187186e-2 6.20409708e-1
391 4.29460699e-2 6.24200239e-1
391.5 4.34877513e-2 6.28049465e-1
392 4.40443084e-2 6.31959059e-1
392.5 4.46163131e-2 6.35930756e-1
393 4.52043654e-2 6.39966358e-1
393.5 4.58090950e-2 6.44067736e-1
394 4.64311628e-2 6.48236836e-1
394.5 4.70712632e-2 6.52475677e-1
395 4.77301259e-2 6.56786363e-1
395.5 4.84085181e-2 6.61171079e-1
396 4.91072470e-2 6.65632101e-1
396.5 4.98271621e-2 6.70171796e-1
397 5.05691581e-2 6.74792631e-1
397.5 5.13341774e-2 6.79497175e-1
398 5.21232140e-2 6.84288108e-1
398.5 5.29373160e-2 6.89168221e-1
399 5.37775898e-2 6.94140427e-1
399.5 5.46452038e-2 6.99207768e-1
400 5.55413927e-2 7.04373418e-1
400.5 5.64674618e-2 7.09640692e-1
401 5.74247923e-2 7.15013055e-1
401.5 5.84148466e-2 7.20494132e-1
402 5.94391735e-2 7.26087711e-1
402.5 6.04994153e-2 7.31797759e-1
403 6.15973141e-2 7.37628429e-1
403.5 6.27347191e-2 7.43584072e-1
404 6.39135948e-2 7.49669249e-1
404.5 6.51360299e-2 7.55888741e-1
405 6.64042464e-2 7.62247567e-1
405.5 6.77206100e-2 7.68750995e-1
406 6.90876419e-2 7.75404560e-1
406.5 7.05080305e-2 7.82214078e-1
407 7.19846453e-2 7.89185666e-1
407.5 7.35205516e-2 7.96325761e-1
408 7.51190267e-2 8.03641141e-1
408.5 7.67835776e-2 8.11138947e-1
409 7.85179607e-2 8.18826708e-1
409.5 8.03262034e-2 8.26712365e-1
410 8.22126276e-2 8.34804303e-1
410.5 8.41818759e-2 8.43111377e-1
411 8.62389407e-2 8.51642950e-1
411.5 8.83891958e-2 8.60408925e-1
412 9.06384323e-2 8.69419785e-1
412.5 9.29928974e-2 8.78686635e-1
413 9.54593384e-2 8.88221249e-1
413.5 9.80450511e-2 8.98036117e-1
414 1.00757934e-1 9.08144501e-1
414.5 1.03606549e-1 9.18560494e-1
415 1.06600188e-1 9.29299081e-1
415.5 1.09748951e-1 9.40376213e-1
416 1.13063827e-1 9.51808879e-1
416.5 1.16556793e-1 9.63615194e-1
417 1.20240922e-1 9.75814481e-1
417.5 1.24130500e-1 9.88427382e-1
418 1.28241168e-1 1.00147595e+0
418.5 1.32590075e-1 1.01498380e+0
419 1.37196055e-1 1.02897618e+0
419.5 1.42079829e-1 1.04348019e+0
420 1.47264230e-1 1.05852486e+0
420.5 1.52774472e-1 1.07414138e+0
421 1.58638443e-1 1.09036326e+0
421.5 1.64887053e-1 1.10722655e+0
422 1.71554630e-1 1.12477002e+0
422.5 1.78679377e-1 1.14303546e+0
423 1.86303905e-1 1.16206793e+0
423.5 1.94475843e-1 1.18191602e+0
424 2.03248558e-1 1.20263220e+0
424.5 2.12681988e-1 1.22427314e+0
425 2.22843622e-1 1.24690007e+0
425.5 2.33809645e-1 1.27057920e+0
426 2.45666293e-1 1.29538206e+0
426.5 2.58511451e-1 1.32138602e+0
427 2.72456546e-1 1.34867461e+0
427.5 2.87628797e-1 1.37733803e+0
428 3.04173905e-1 1.40747350e+0
428.5 3.22259268e-1 1.43918557e+0
429 3.42077839e-1 1.47258638e+0
429.5 3.63852783e-1 1.50779567e+0
430 3.87843086e-1 1.54494057e+0
430.5 4.14350373e-1 1.58415487e+0
431 4.43727168e-1 1.62557780e+0
431.5 4.76386954e-1 1.66935173e+0
432 5.12816438e-1 1.71561863e+0
432.5 5.53590487e-1 1.76451443e+0
433 5.99390329e-1 1.81616058e+0
433.5 6.51025647e-1 1.87065142e+0
434 7.09461238e-1 1.92803542e+0
434.5 7.75848868e-1 1.98828782e+0
435 8.51564643e-1 2.05127061e+0
435.5 9.38251609e-1 2.11667439e+0
436 1.03786584e+0 2.18393438e+0
436.5 1.15272156e+0 2.25210979e+0
437 1.28552564e+0 2.31971218e+0
437.5 1.43938272e+0 2.38446465e+0
438 1.61773639e+0 2.44297210e+0
438.5 1.82418658e+0 2.49028663e+0
439 2.06208572e+0 2.51937261e+0
439.5 2.33376940e+0 2.52052951e+0
440 2.63924040e+0 2.48094634e+0
440.5 2.97415696e+0 2.38476659e+0
441 3.32719914e+0 2.21432216e+0
441.5 3.67746963e+0 1.95338036e+0
442 3.99355249e+0 1.59289540e+0
442.5 4.23664089e+0 1.13826716e+0
443 4.36930679e+0 6.14614277e-1
443.5 4.36787365e+0 6.51865949e-2
444 4.23195155e+0 -4.59084537e-1
444.5 3.98469434e+0 -9.14385954e-1
445 3.66356011e+0 -1.27486605e+0
445.5 3.30782684e+0 -1.53464103e+0
446 2.94950365e+0 -1.70267419e+0
446.5 2.60995017e+0 -1.79542128e+0
447 2.30072926e+0 -1.83090272e+0
447.5 2.02623497e+0 -1.82532093e+0
448 1.78639553e+0 -1.79176073e+0
448.5 1.57874871e+0 -1.74011020e+0
449 1.39980047e+0 -1.67751770e+0
449.5 1.24581767e+0 -1.60898817e+0
450 1.11324203e+0 -1.53793618e+0
450.5 9.98875144e-1 -1.46663469e+0
451 8.99935969e-1 -1.39655492e+0
451.5 8.14052953e-1 -1.32861369e+0
452 7.39226399e-1 -1.26334927e+0
452.5 6.73780494e-1 -1.20104448e+0
453 6.16314788e-1 -1.14181206e+0
453.5 5.65659625e-1 -1.08565347e+0
454 5.20837218e-1 -1.03249914e+0
454.5 4.81028593e-1 -9.82235986e-1
455 4.45546010e-1 -9.34725937e-1
455.5 4.13810166e-1 -8.89818432e-1
456 3.85331471e-1 -8.47358689e-1
456.5 3.59694700e-1 -8.07193095e-1
457 3.36546436e-1 -7.69172605e-1
457.5 3.15584779e-1 -7.33154803e-1
458 2.96550910e-1 -6.99005041e-1
458.5 2.79222156e-1 -6.66596966e-1
459 2.63406273e-1 -6.35812638e-1
459.5 2.48936723e-1 -6.06542385e-1
460 2.35668761e-1 -5.78684493e-1
460.5 2.23476177e-1 -5.52144797e-1
461 2.12248582e-1 -5.26836227e-1
461.5 2.01889133e-1 -5.02678322e-1
462 1.92312624e-1 -4.79596758e-1
462.5 1.83443876e-1 -4.57522873e-1
463 1.75216380e-1 -4.36393230e-1
463.5 1.67571141e-1 -4.16149191e-1
464 1.60455695e-1 -3.96736528e-1
464.5 1.53823279e-1 -3.78105060e-1
465 1.47632106e-1 -3.60208315e-1
465.5 1.41844757e-1 -3.43003226e-1
466 1.36427648e-1 -3.26449847e-1
466.5 1.31350574e-1 -3.10511091e-1
467 1.26586313e-1 -2.95152503e-1
467.5 1.22110286e-1 -2.80342036e-1
468 1.17900255e-1 -2.66049860e-1
468.5 1.13936064e-1 -2.52248183e-1
469 1.10199414e-1 -2.38911085e-1
469.5 1.06673660e-1 -2.26014373e-1
470 1.03343638e-1 -2.13535443e-1
470.5 1.00195512e-1 -2.01453158e-1
471 9.72166361e-2 -1.89747732e-1
471.5 9.43954359e-2 -1.78400633e-1
472 9.17213026e-2 -1.67394482e-1
472.5 8.91844980e-2 -1.56712971e-1
473 8.67760709e-2 -1.46340784e-1
473.5 8.44877830e-2 -1.36263523e-1
474 8.23120419e-2 -1.26467642e-1
474.5 8.02418421e-2 -1.16940389e-1
475 7.82707115e-2 -1.07669745e-1
475.5 7.63926639e-2 -9.86443787e-2
476 7.46021562e-2 -8.98535955e-2
476.5 7.28940496e-2 -8.12872949e-2
477 7.12635756e-2 -7.29359309e-2
477.5 6.97063039e-2 -6.47904749e-2
478 6.82181148e-2 -5.68423816e-2
478.5 6.67951733e-2 -4.90835578e-2
479 6.54339061e-2 -4.15063329e-2
479.5 6.41309806e-2 -3.41034325e-2
480 6.28832857e-2 -2.68679531e-2
480.5 6.16879146e-2 -1.97933391e-2
481 6.05421491e-2 -1.28733617e-2
481.5 5.94434451e-2 -6.10209830e-3
482 5.83894193e-2 5.26085084e-4
482.5 5.73778377e-2 7.01655165e-3
483 5.64066041e-2 1.33744095e-2
483.5 5.54737505e-2 1.96045266e-2
484 5.45774274e-2 2.57115447e-2
484.5 5.37158961e-2 3.16998919e-2
485 5.28875202e-2 3.75737953e-2
485.5 5.20907588e-2 4.33372919e-2
486 5.13241600e-2 4.89942390e-2
486.5 5.05863548e-2 5.45483244e-2
487 4.98760515e-2 6.00030755e-2
487.5 4.91920305e-2 6.53618677e-2
488 4.85331398e-2 7.06279327e-2
488.5 4.78982902e-2 7.58043660e-2
489 4.72864518e-2 8.08941341e-2
489.5 4.66966496e-2 8.59000812e-2
490 4.61279605e-2 9.08249351e-2
490.5 4.55795101e-2 9.56713137e-2
491 4.50504692e-2 1.00441730e-1
491.5 4.45400515e-2 1.05138597e-1
492 4.40475109e-2 1.09764235e-1
492.5 4.35721389e-2 1.14320872e-1
493 4.31132625e-2 1.18810651e-1
493.5 4.26702423e-2 1.23235635e-1
494 4.22424703e-2 1.27597809e-1
494.5 4.18293679e-2 1.31899082e-1
495 4.14303849e-2 1.36141294e-1
495.5 4.10449970e-2 1.40326219e-1
496 4.06727053e-2 1.44455565e-1
496.5 4.03130339e-2 1.48530980e-1
497 3.99655296e-2 1.52554053e-1
497.5 3.96297597e-2 1.56526316e-1
498 3.93053119e-2 1.60449251e-1
498.5 3.89917924e-2 1.64324286e-1
499 3.86888252e-2 1.68152801e-1
499.5 3.83960513e-2 1.71936131e-1
500 3.81131276e-2 1.75675564e-1
500.5 3.78397262e-2 1.79372346e-1
501 3.75755336e-2 1.83027684e-1
501.5 3.73202499e-2 1.86642744e-1
502 3.70735883e-2 1.90218655e-1
502.5 3.68352742e-2 1.93756509e-1
503 3.66050448e-2 1.97257366e-1
503.5 3.63826483e-2 2.00722250e-1
504 3.61678436e-2 2.04152156e-1
504.5 3.59603997e-2 2.07548046e-1
505 3.57600952e-2 2.10910855e-1
505.5 3.55667178e-2 2.14241489e-1
506 3.53800639e-2 2.17540827e-1
506.5 3.51999384e-2 2.20809723e-1
507 3.50261537e-2 2.24049004e-1
507.5 3.48585303e-2 2.27259475e-1
508 3.46968955e-2 2.30441918e-1
508.5 3.45410838e-2 2.33597092e-1
509 3.43909360e-2 2.36725735e-1
509.5 3.42462994e-2 2.39828566e-1
510 3.41070272e-2 2.42906281e-1
510.5 3.39729785e-2 2.45959561e-1
511 3.38440177e-2 2.48989066e-1
511.5 3.37200146e-2 2.51995439e-1
512 3.36008442e-2 2.54979307e-1
512.5 3.34863859e-2 2.57941281e-1
513 3.33765242e-2 2.60881954e-1
513.5 3.32711477e-2 2.63801906e-1
514 3.31701495e-2 2.66701701e-1
514.5 3.30734267e-2 2.69581892e-1
515 3.29808802e-2 2.72443014e-1
515.5 3.28924148e-2 2.75285592e-1
516 3.28079390e-2 2.78110138e-1
516.5 3.27273645e-2 2.80917150e-1
517 3.26506065e-2 2.83707117e-1
517.5 3.25775836e-2 2.86480516e-1
518 3.25082171e-2 2.89237811e-1
518.5 3.24424316e-2 2.91979458e-1
519 3.23801544e-2 2.94705902e-1
519.5 3.23213155e-2 2.97417577e-1
520 3.22658478e-2 3.00114910e-1
520.5 3.22136866e-2 3.02798316e-1
521 3.21647695e-2 3.05468204e-1
521.5 3.21190368e-2 3.08124973e-1
522 3.20764309e-2 3.10769014e-1
522.5 3.20368966e-2 3.13400710e-1
523 3.20003805e-2 3.16020436e-1
523.5 3.19668316e-2 3.18628560e-1
524 3.19362008e-2 3.21225444e-1
524.5 3.19084409e-2 3.23811441e-1
525 3.18835065e-2 3.26386899e-1
525.5 3.18613543e-2 3.28952159e-1
526 3.18419424e-2 3.31507555e-1
526.5 3.18252308e-2 3.34053417e-1
527 3.18111811e-2 3.36590067e-1
527.5 3.17997566e-2 3.39117823e-1
528 3.17909219e-2 3.41636998e-1
528.5 3.17846433e-2 3.44147898e-1
529 3.17808886e-2 3.46650825e-1
529.5 3.17796269e-2 3.49146077e-1
530 3.17808288e-2 3.51633946e-1
530.5 3.17844661e-2 3.54114720e-1
531 3.17905119e-2 3.56588683e-1
531.5 3.17989408e-2 3.59056114e-1
532 3.18097284e-2 3.61517290e-1
532.5 3.18228517e-2 3.63972482e-1
533 3.18382887e-2 3.66421958e-1
533.5 3.18560187e-2 3.68865983e-1
534 3.18760220e-2 3.71304818e-1
534.5 3.18982802e-2 3.73738721e-1
535 3.19227757e-2 3.76167947e-1
535.5 3.19494921e-2 3.78592746e-1
536 3.19784142e-2 3.81013369e-1
536.5 3.20095275e-2 3.83430061e-1
537 3.20428186e-2 3.85843065e-1
537.5 3.20782752e-2 3.88252623e-1
538 3.21158859e-2 3.90658973e-1
538.5 3.21556401e-2 3.93062350e-1
539 3.21975283e-2 3.95462989e-1
539.5 3.22415418e-2 3.97861121e-1
540 3.22876729e-2 4.00256977e-1
540.5 3.23359146e-2 4.02650784e-1
541 3.23862610e-2 4.05042768e-1
541.5 3.24387069e-2 4.07433154e-1
542 3.24932480e-2 4.09822164e-1
542.5 3.25498809e-2 4.12210020e-1
543 3.26086029e-2 4.14596941e-1
543.5 3.26694122e-2 4.16983147e-1
544 3.27323079e-2 4.19368854e-1
544.5 3.27972897e-2 4.21754278e-1
545 3.28643584e-2 4.24139636e-1
545.5 3.29335153e-2 4.26525140e-1
546 3.30047626e-2 4.28911004e-1
546.5 3.30781034e-2 4.31297441e-1
547 3.31535415e-2 4.33684663e-1
547.5 3.32310815e-2 4.36072880e-1
548 3.33107288e-2 4.38462303e-1
548.5 3.33924894e-2 4.40853143e-1
549 3.34763704e-2 4.43245608e-1
549.5 3.35623795e-2 4.45639910e-1
550 3.36505253e-2 4.48036255e-1
550.5 3.37408169e-2 4.50434855e-1
551 3.38332645e-2 4.52835918e-1
551.5 3.39278790e-2 4.55239652e-1
552 3.40246720e-2 4.57646267e-1
552.5 3.41236561e-2 4.60055973e-1
553 3.42248444e-2 4.62468978e-1
553.5 3.43282512e-2 4.64885493e-1
554 3.44338912e-2 4.67305728e-1
554.5 3.45417801e-2 4.69729894e-1
555 3.46519347e-2 4.72158202e-1
555.5 3.47643721e-2 4.74590863e-1
556 3.48791107e-2 4.77028091e-1
556.5 3.49961694e-2 4.79470100e-1
557 3.51155684e-2 4.81917102e-1
557.5 3.52373283e-2 4.84369315e-1
558 3.53614710e-2 4.86826953e-1
558.5 3.54880189e-2 4.89290235e-1
559 3.56169956e-2 4.91759380e-1
559.5 3.57484255e-2 4.94234606e-1
560 3.58823341e-2 4.96716136e-1
560.5 3.60187476e-2 4.99204192e-1
561 3.61576933e-2 5.01698998e-1
561.5 3.62991995e-2 5.04200781e-1
562 3.64432954e-2 5.06709768e-1
562.5 3.65900115e-2 5.09226189e-1
563 3.67393790e-2 5.11750274e-1
563.5 3.68914303e-2 5.14282257e-1
564 3.70461990e-2 5.16822374e-1
564.5 3.72037195e-2 5.19370861e-1
565 3.73640277e-2 5.21927959e-1
565.5 3.75271603e-2 5.24493910e-1
566 3.76931554e-2 5.27068958e-1
566.5 3.78620523e-2 5.29653350e-1
567 3.80338913e-2 5.32247336e-1
567.5 3.82087143e-2 5.34851169e-1
568 3.83865641e-2 5.37465104e-1
568.5 3.85674852e-2 5.40089398e-1
569 3.87515232e-2 5.42724315e-1
569.5 3.89387250e-2 5.45370117e-1
570 3.91291393e-2 5.48027074e-1
570.5 3.93228158e-2 5.50695456e-1
571 3.95198059e-2 5.53375538e-1
571.5 3.97201627e-2 5.56067598e-1
572 3.99239404e-2 5.58771919e-1
572.5 4.01311953e-2 5.61488787e-1
573 4.03419850e-2 5.64218492e-1
573.5 4.05563690e-2 5.66961328e-1
574 4.07744084e-2 5.69717595e-1
574.5 4.09961662e-2 5.72487594e-1
575 4.12217071e-2 5.75271635e-1
575.5 4.14510979e-2 5.78070028e-1
576 4.16844072e-2 5.80883093e-1
576.5 4.19217056e-2 5.83711150e-1
577 4.21630658e-2 5.86554528e-1
577.5 4.24085626e-2 5.89413559e-1
578 4.26582731e-2 5.92288582e-1
578.5 4.29122764e-2 5.95179941e-1
579 4.31706542e-2 5.98087987e-1
579.5 4.34334904e-2 6.01013074e-1
580 4.37008715e-2 6.03955567e-1
580.5 4.39728864e-2 6.06915833e-1
581 4.42496267e-2 6.09894249e-1
581.5 4.45311868e-2 6.12891196e-1
582 4.48176638e-2 6.15907064e-1
582.5 4.51091575e-2 6.18942250e-1
583 4.54057711e-2 6.21997158e-1
583.5 4.57076105e-2 6.25072200e-1
584 4.60147850e-2 6.28167796e-1
584.5 4.63274071e-2 6.31284375e-1
585 4.66455926e-2 6.34422373e-1
585.5 4.69694611e-2 6.37582236e-1
586 4.72991354e-2 6.40764417e-1
586.5 4.76347425e-2 6.43969383e-1
587 4.79764129e-2 6.47197604e-1
587.5 4.83242815e-2 6.50449566e-1
588 4.86784870e-2 6.53725761e-1
588.5 4.90391726e-2 6.57026694e-1
589 4.94064860e-2 6.60352880e-1
589.5 4.97805794e-2 6.63704845e-1
590 5.01616098e-2 6.67083126e-1
590.5 5.05497393e-2 6.70488274e-1
591 5.09451349e-2 6.73920850e-1
591.5 5.13479693e-2 6.77381429e-1
592 5.17584204e-2 6.80870599e-1
592.5 5.21766720e-2 6.84388962e-1
593 5.26029137e-2 6.87937132e-1
593.5 5.30373416e-2 6.91515740e-1
594 5.34801580e-2 6.95125429e-1
594.5 5.39315718e-2 6.98766861e-1
595 5.43917990e-2 7.02440712e-1
595.5 5.48610628e-2 7.06147672e-1
596 5.53395937e-2 7.09888453e-1
596.5 5.58276302e-2 7.13663781e-1
597 5.63254187e-2 7.17474400e-1
597.5 5.68332141e-2 7.21321075e-1
598 5.73512802e-2 7.25204588e-1
598.5 5.78798897e-2 7.29125744e-1
599 5.84193249e-2 7.33085365e-1
599.5 5.89698778e-2 7.37084297e-1
600 5.95318511e-2 7.41123407e-1
600.5 6.01055578e-2 7.45203586e-1
601 6.06913224e-2 7.49325748e-1
601.5 6.12894808e-2 7.53490832e-1
602 6.19003812e-2 7.57699801e-1
602.5 6.25243845e-2 7.61953646e-1
603 6.31618648e-2 7.66253385e-1
603.5 6.38132100e-2 7.70600063e-1
604 6.44788224e-2 7.74994757e-1
604.5 6.51591195e-2 7.79438572e-1
605 6.58545345e-2 7.83932644e-1
605.5 6.65655169e-2 7.88478144e-1
606 6.72925338e-2 7.93076276e-1
606.5 6.80360698e-2 7.97728277e-1
607 6.87966287e-2 8.02435424e-1
607.5 6.95747339e-2 8.07199028e-1
608 7.03709295e-2 8.12020443e-1
608.5 7.11857811e-2 8.16901062e-1
609 7.20198771e-2 8.21842318e-1
609.5 7.28738296e-2 8.26845693e-1
610 7.37482756e-2 8.31912710e-1
610.5 7.46438782e-2 8.37044943e-1
611 7.55613278e-2 8.42244012e-1
611.5 7.65013439e-2 8.47511591e-1
612 7.74646760e-2 8.52849407e-1
612.5 7.84521052e-2 8.58259241e-1
613 7.94644463e-2 8.63742934e-1
613.5 8.05025489e-2 8.69302386e-1
614 8.15672997e-2 8.74939559e-1
614.5 8.26596242e-2 8.80656482e-1
615 8.37804887e-2 8.86455250e-1
615.5 8.49309025e-2 8.92338032e-1
616 8.61119206e-2 8.98307067e-1
616.5 8.73246456e-2 9.04364675e-1
617 8.85702305e-2 9.10513254e-1
617.5 8.98498817e-2 9.16755286e-1
618 9.11648616e-2 9.23093341e-1
618.5 9.25164923e-2 9.29530082e-1
619 9.39061583e-2 9.36068266e-1
619.5 9.53353106e-2 9.42710750e-1
620 9.68054702e-2 9.49460496e-1
620.5 9.83182326e-2 9.56320574e-1
621 9.98752716e-2 9.63294170e-1
621.5 1.01478345e-1 9.70384588e-1
622 1.03129297e-1 9.77595257e-1
622.5 1.04830068e-1 9.84929739e-1
623 1.06582696e-1 9.92391729e-1
623.5 1.08389326e-1 9.99985071e-1
624 1.10252212e-1 1.00771376e+0
624.5 1.12173732e-1 1.01558193e+0
625 1.14156387e-1 1.02359392e+0
625.5 1.16202813e-1 1.03175420e+0
626 1.18315792e-1 1.04006745e+0
626.5 1.20498258e-1 1.04853853e+0
627 1.22753308e-1 1.05717251e+0
627.5 1.25084213e-1 1.06597466e+0
628 1.27494432e-1 1.07495048e+0
628.5 1.29987620e-1 1.08410570e+0
629 1.32567648e-1 1.09344630e+0
629.5 1.35238613e-1 1.10297852e+0
630 1.38004854e-1 1.11270886e+0
630.5 1.40870975e-1 1.12264413e+0
631 1.43841857e-1 1.13279141e+0
631.5 1.46922685e-1 1.14315813e+0
632 1.50118963e-1 1.15375204e+0
632.5 1.53436547e-1 1.16458125e+0
633 1.56881663e-1 1.17565425e+0
633.5 1.60460942e-1 1.18697989e+0
634 1.64181449e-1 1.19856749e+0
634.5 1.68050716e-1 1.21042677e+0
635 1.72076780e-1 1.22256793e+0
635.5 1.76268228e-1 1.23500166e+0
636 1.80634233e-1 1.24773917e+0
636.5 1.85184614e-1 1.26079222e+0
637 1.89929879e-1 1.27417315e+0
637.5 1.94881291e-1 1.28789491e+0
638 2.00050931e-1 1.30197110e+0
638.5 2.05451769e-1 1.31641603e+0
639 2.11097743e-1 1.33124469e+0
639.5 2.17003846e-1 1.34647290e+0
640 2.23186219e-1 1.36211724e+0
640.5 2.29662264e-1 1.37819519e+0
641 2.36450752e-1 1.39472511e+0
641.5 2.43571962e-1 1.41172636e+0
642 2.51047819e-1 1.42921928e+0
642.5 2.58902057e-1 1.44722532e+0
643 2.67160400e-1 1.46576703e+0
643.5 2.75850756e-1 1.48486819e+0
644 2.85003444e-1 1.50455380e+0
644.5 2.94651439e-1 1.52485023e+0
645 3.04830654e-1 1.54578520e+0
645.5 3.15580247e-1 1.56738791e+0
646 3.26942974e-1 1.58968906e+0
646.5 3.38965584e-1 1.61272093e+0
647 3.51699255e-1 1.63651745e+0
647.5 3.65200101e-1 1.66111421e+0
648 3.79529728e-1 1.68654853e+0
648.5 3.94755878e-1 1.71285949e+0
649 4.10953144e-1 1.74008789e+0
649.5 4.28203787e-1 1.76827627e+0
650 4.46598670e-1 1.79746881e+0
650.5 4.66238301e-1 1.82771125e+0
651 4.87234040e-1 1.85905074e+0
651.5 5.09709459e-1 1.89153551e+0
652 5.33801894e-1 1.92521461e+0
652.5 5.59664223e-1 1.96013738e+0
653 5.87466879e-1 1.99635278e+0
653.5 6.17400158e-1 2.03390856e+0
654 6.49676844e-1 2.07285006e+0
654.5 6.84535200e-1 2.11321875e+0
655 7.22242362e-1 2.15505021e+0
655.5 7.63098197e-1 2.19837166e+0
656 8.07439649e-1 2.24319860e+0
656.5 8.55645631e-1 2.28953059e+0
657 9.08142470e-1 2.33734584e+0
657.5 9.65409911e-1 2.38659419e+0
658 1.02798765e+0 2.43718820e+0
658.5 1.09648224e+0 2.48899171e+0
659 1.17157424e+0 2.54180530e+0
659.5 1.25402508e+0 2.59534783e+0
660 1.34468318e+0 2.64923302e+0
660.5 1.44448818e+0 2.70294004e+0
661 1.55447184e+0 2.75577671e+0
661.5 1.67575333e+0 2.80683399e+0
662 1.80952555e+0 2.85493044e+0
662.5 1.95702784e+0 2.89854571e+0
663 2.11949851e+0 2.93574320e+0
663.5 2.29809870e+0 2.96408387e+0
664 2.49379645e+0 2.98053652e+0
664.5 2.70719864e+0 2.98139557e+0
665 2.93831771e+0 2.96222566e+0
665.5 3.18626438e+0 2.91786397e+0
666 3.44886796e+0 2.84252487e+0
666.5 3.72224779e+0 2.73006433e+0
667 4.00039567e+0 2.57446558e+0
667.5 4.27487805e+0 2.37059050e+0
668 4.53481714e+0 2.11518762e+0
668.5 4.76733408e+0 1.80804809e+0
669 4.95859275e+0 1.45306886e+0
669.5 5.09543665e+0 1.05887011e+0
670 5.16737506e+0 6.38607452e-1
670.5 5.16844017e+0 2.08791021e-1
671 5.09834996e+0 -2.12745829e-1
671.5 4.96257741e+0 -6.09240508e-1
672 4.77129898e+0 -9.67109207e-1
672.5 4.53758358e+0 -1.27724579e+0
673 4.27538267e+0 -1.53532078e+0
673.5 3.99782476e+0 -1.74123438e+0
674 3.71609211e+0 -1.89807437e+0
674.5 3.43891291e+0 -2.01094350e+0
675 3.17254058e+0 -2.08591601e+0
675.5 2.92103602e+0 -2.12924788e+0
676 2.68668621e+0 -2.14685921e+0
676.5 2.47044280e+0 -2.14404769e+0
677 2.27231488e+0 -2.12537086e+0
677.5 2.09168890e+0 -2.09463772e+0
