#Note:; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
95 7.59011499e-3 1.20117228e-1
95.5 7.61398622e-3 1.20807483e-1
96 7.63790519e-3 1.21499164e-1
96.5 7.66187346e-3 1.22192291e-1
97 7.68589256e-3 1.22886879e-1
97.5 7.70996406e-3 1.23582950e-1
98 7.73408955e-3 1.24280520e-1
98.5 7.75827065e-3 1.24979610e-1
99 7.78250898e-3 1.25680239e-1
99.5 7.80680619e-3 1.26382426e-1
100 7.83116395e-3 1.27086191e-1
100.5 7.85558396e-3 1.27791556e-1
101 7.88006795e-3 1.28498539e-1
101.5 7.90461764e-3 1.29207163e-1
102 7.92923481e-3 1.29917448e-1
102.5 7.95392126e-3 1.30629416e-1
103 7.97867880e-3 1.31343088e-1
103.5 8.00350928e-3 1.32058488e-1
104 8.02841457e-3 1.32775636e-1
104.5 8.05339659e-3 1.33494558e-1
105 8.07845727e-3 1.34215274e-1
105.5 8.10359857e-3 1.34937810e-1
106 8.12882249e-3 1.35662189e-1
106.5 8.15413106e-3 1.36388435e-1
107 8.17952634e-3 1.37116573e-1
107.5 8.20501043e-3 1.37846629e-1
108 8.23058546e-3 1.38578627e-1
108.5 8.25625362e-3 1.39312594e-1
109 8.28201709e-3 1.40048556e-1
109.5 8.30787814e-3 1.40786541e-1
110 8.33383905e-3 1.41526574e-1
110.5 8.35990214e-3 1.42268685e-1
111 8.38606980e-3 1.43012900e-1
111.5 8.41234442e-3 1.43759250e-1
112 8.43872848e-3 1.44507763e-1
112.5 8.46522449e-3 1.45258468e-1
113 8.49183498e-3 1.46011396e-1
113.5 8.51856258e-3 1.46766577e-1
114 8.54540993e-3 1.47524044e-1
114.5 8.57237973e-3 1.48283827e-1
115 8.59947476e-3 1.49045958e-1
115.5 8.62669782e-3 1.49810472e-1
116 8.65405178e-3 1.50577401e-1
116.5 8.68153959e-3 1.51346779e-1
117 8.70916422e-3 1.52118642e-1
117.5 8.73692874e-3 1.52893024e-1
118 8.76483626e-3 1.53669962e-1
118.5 8.79288997e-3 1.54449491e-1
119 8.82109312e-3 1.55231651e-1
119.5 8.84944903e-3 1.56016478e-1
120 8.87796109e-3 1.56804011e-1
120.5 8.90663278e-3 1.57594291e-1
121 8.93546765e-3 1.58387356e-1
121.5 8.96446932e-3 1.59183249e-1
122 8.99364149e-3 1.59982010e-1
122.5 9.02298796e-3 1.60783684e-1
123 9.05251262e-3 1.61588312e-1
123.5 9.08221941e-3 1.62395940e-1
124 9.11211242e-3 1.63206612e-1
124.5 9.14219580e-3 1.64020375e-1
125 9.17247379e-3 1.64837276e-1
125.5 9.20295076e-3 1.65657362e-1
126 9.23363117e-3 1.66480682e-1
126.5 9.26451959e-3 1.67307287e-1
127 9.29562070e-3 1.68137228e-1
127.5 9.32693930e-3 1.68970556e-1
128 9.35848030e-3 1.69807324e-1
128.5 9.39024874e-3 1.70647586e-1
129 9.42224979e-3 1.71491399e-1
129.5 9.45448874e-3 1.72338818e-1
130 9.48697103e-3 1.73189901e-1
130.5 9.51970223e-3 1.74044706e-1
131 9.55268806e-3 1.74903295e-1
131.5 9.58593439e-3 1.75765728e-1
132 9.61944724e-3 1.76632069e-1
132.5 9.65323278e-3 1.77502381e-1
133 9.68729738e-3 1.78376731e-1
133.5 9.72164754e-3 1.79255184e-1
134 9.75628997e-3 1.80137811e-1
134.5 9.79123154e-3 1.81024680e-1
135 9.82647932e-3 1.81915864e-1
135.5 9.86204058e-3 1.82811436e-1
136 9.89792279e-3 1.83711471e-1
136.5 9.93413363e-3 1.84616046e-1
137 9.97068100e-3 1.85525239e-1
137.5 1.00075730e-2 1.86439130e-1
138 1.00448180e-2 1.87357803e-1
138.5 1.00824247e-2 1.88281341e-1
139 1.01204018e-2 1.89209830e-1
139.5 1.01587584e-2 1.90143359e-1
140 1.01975041e-2 1.91082018e-1
140.5 1.02366483e-2 1.92025900e-1
141 1.02762012e-2 1.92975099e-1
141.5 1.03161728e-2 1.93929714e-1
142 1.03565739e-2 1.94889843e-1
142.5 1.03974153e-2 1.95855590e-1
143 1.04387082e-2 1.96827058e-1
143.5 1.04804643e-2 1.97804355e-1
144 1.05226954e-2 1.98787591e-1
144.5 1.05654140e-2 1.99776880e-1
145 1.06086327e-2 2.00772336e-1
145.5 1.06523647e-2 2.01774080e-1
146 1.06966235e-2 2.02782234e-1
146.5 1.07414231e-2 2.03796922e-1
147 1.07867780e-2 2.04818273e-1
147.5 1.08327032e-2 2.05846420e-1
148 1.08792141e-2 2.06881498e-1
148.5 1.09263267e-2 2.07923647e-1
149 1.09740574e-2 2.08973009e-1
149.5 1.10224234e-2 2.10029732e-1
150 1.10714423e-2 2.11093968e-1
150.5 1.11211324e-2 2.12165872e-1
151 1.11715127e-2 2.13245604e-1
151.5 1.12226026e-2 2.14333328e-1
152 1.12744225e-2 2.15429214e-1
152.5 1.13269934e-2 2.16533436e-1
153 1.13803371e-2 2.17646173e-1
153.5 1.14344762e-2 2.18767610e-1
154 1.14894340e-2 2.19897936e-1
154.5 1.15452347e-2 2.21037348e-1
155 1.16019037e-2 2.22186047e-1
155.5 1.16594669e-2 2.23344240e-1
156 1.17179516e-2 2.24512142e-1
156.5 1.17773858e-2 2.25689973e-1
157 1.18377988e-2 2.26877961e-1
157.5 1.18992210e-2 2.28076340e-1
158 1.19616839e-2 2.29285353e-1
158.5 1.20252203e-2 2.30505249e-1
159 1.20898644e-2 2.31736285e-1
159.5 1.21556517e-2 2.32978729e-1
160 1.22226191e-2 2.34232855e-1
160.5 1.22908050e-2 2.35498946e-1
161 1.23602496e-2 2.36777296e-1
161.5 1.24309946e-2 2.38068209e-1
162 1.25030834e-2 2.39371997e-1
162.5 1.25765613e-2 2.40688985e-1
163 1.26514757e-2 2.42019508e-1
163.5 1.27278757e-2 2.43363913e-1
164 1.28058130e-2 2.44722558e-1
164.5 1.28853412e-2 2.46095817e-1
165 1.29665165e-2 2.47484073e-1
165.5 1.30493974e-2 2.48887725e-1
166 1.31340453e-2 2.50307188e-1
166.5 1.32205242e-2 2.51742889e-1
167 1.33089013e-2 2.53195273e-1
167.5 1.33992468e-2 2.54664801e-1
168 1.34916340e-2 2.56151951e-1
168.5 1.35861401e-2 2.57657221e-1
169 1.36828456e-2 2.59181125e-1
169.5 1.37818353e-2 2.60724200e-1
170 1.38831977e-2 2.62287003e-1
170.5 1.39870262e-2 2.63870112e-1
171 1.40934185e-2 2.65474131e-1
171.5 1.42024774e-2 2.67099684e-1
172 1.43143108e-2 2.68747425e-1
172.5 1.44290323e-2 2.70418033e-1
173 1.45467615e-2 2.72112215e-1
173.5 1.46676242e-2 2.73830708e-1
174 1.47917529e-2 2.75574281e-1
174.5 1.49192872e-2 2.77343736e-1
175 1.50503745e-2 2.79139910e-1
175.5 1.51851702e-2 2.80963677e-1
176 1.53238385e-2 2.82815949e-1
176.5 1.54665525e-2 2.84697680e-1
177 1.56134958e-2 2.86609868e-1
177.5 1.57648619e-2 2.88553555e-1
178 1.59208563e-2 2.90529834e-1
178.5 1.60816961e-2 2.92539848e-1
179 1.62476119e-2 2.94584796e-1
179.5 1.64188478e-2 2.96665933e-1
180 1.65956632e-2 2.98784577e-1
180.5 1.67783337e-2 3.00942111e-1
181 1.69671520e-2 3.03139988e-1
181.5 1.71624297e-2 3.05379732e-1
182 1.73644984e-2 3.07662949e-1
182.5 1.75737115e-2 3.09991327e-1
183 1.77904459e-2 3.12366643e-1
183.5 1.80151038e-2 3.14790770e-1
184 1.82481150e-2 3.17265681e-1
184.5 1.84899388e-2 3.19793460e-1
185 1.87410671e-2 3.22376304e-1
185.5 1.90020264e-2 3.25016537e-1
186 1.92733816e-2 3.27716614e-1
186.5 1.95557390e-2 3.30479136e-1
187 1.98497498e-2 3.33306852e-1
187.5 2.01561147e-2 3.36202682e-1
188 2.04755880e-2 3.39169718e-1
188.5 2.08089829e-2 3.42211246e-1
189 2.11571770e-2 3.45330757e-1
189.5 2.15211187e-2 3.48531964e-1
190 2.19018338e-2 3.51818820e-1
190.5 2.23004337e-2 3.55195537e-1
191 2.27181235e-2 3.58666610e-1
191.5 2.31562126e-2 3.62236838e-1
192 2.36161247e-2 3.65911350e-1
192.5 2.40994107e-2 3.69695637e-1
193 2.46077624e-2 3.73595583e-1
193.5 2.51430282e-2 3.77617497e-1
194 2.57072305e-2 3.81768156e-1
194.5 2.63025863e-2 3.86054850e-1
